process_id,temperature_raw,temperature_c,time_raw,time_hours
00398f0aebf49fbe75898ea6ffeb3dac-p1,2 c,2.0,30 min,0.5
00657c82669a2633d4e6b79a0e026247-p1,120 c,120.0,30 min,0.5
013711a264ff618174da850743562485-p1,4 c,4.0,5 min,5 min
013d896bd141e12a5564eaf0b3565cf2-p1,400 c,400.0,,
0188a4a0b315cd664b86ad1910013862-p1,,,,
019be556d9ec12cd8e2d90d2ea44effe-p1,500 c,500.0,10 min,10 min
019be556d9ec12cd8e2d90d2ea44effe-p2,120 c,120.0,10 min,10 min
01e7f77703379a9d4d1fbc6ff9402148-p1,1 c,1.0,,
01fd82a84f61bc61df259560f1e97e02-p1,2 c,2.0,60 min,60 min
01fd82a84f61bc61df259560f1e97e02-p2,100 c,100.0,,
01fd82a84f61bc61df259560f1e97e02-p3,,,,
01fd82a84f61bc61df259560f1e97e02-p4,,,,
02a852de695caf37f513abb2e3f21558-p1,4 c,4.0,,
02c394b13170764ca80e36f6c6005ba4-p1,60 c,60.0,,
02c394b13170764ca80e36f6c6005ba4-p2,72 c,72.0,,
02c394b13170764ca80e36f6c6005ba4-p3,,,,
02c394b13170764ca80e36f6c6005ba4-p4,3 c,3.0,,
02c394b13170764ca80e36f6c6005ba4-p5,3 c,3.0,,
02d83e03001168d2dbc0f057e94fb856-p1,2c,2.0,48 hr,48 hr
02d83e03001168d2dbc0f057e94fb856-p2,2 c,2.0,,
0315a6674efe3e74a7741ba9c47882e0-p1,2 c,2.0,,
0315a6674efe3e74a7741ba9c47882e0-p2,100 c,100.0,10 min,10 min
0315a6674efe3e74a7741ba9c47882e0-p3,3 c,3.0,5 min,5 min
03f16d8dcbe29d0d9406e854001ccfd5-p1,5 c,5.0,,
03f16d8dcbe29d0d9406e854001ccfd5-p2,140 c,140.0,30 min,0.5
03f16d8dcbe29d0d9406e854001ccfd5-p3,1 c,1.0,,
04645e7bd4a1a3742e1cd9ae62cc299f-p1,3 c,3.0,,
047f6a6d3c05819e962445ddd3b9ea69-p1,,,,
047f6a6d3c05819e962445ddd3b9ea69-p2,2 c,2.0,,
047f6a6d3c05819e962445ddd3b9ea69-p3,,,,
04fbf08fd7b62b5bcf4d3d748f58d158-p1,2 c,2.0,1 hr,1
0518fc8ee740c683369f4424799f5f01-p1,3 c,3.0,10 min,10 min
0518fc8ee740c683369f4424799f5f01-p2,,,,
0518fc8ee740c683369f4424799f5f01-p3,,,,
0518fc8ee740c683369f4424799f5f01-p4,,,,
07d7f5e20e13c340612222d3d5489af8-p1,,,,
0822468a903fdbc854568aae6c2a86b4-p1,,,,
0822468a903fdbc854568aae6c2a86b4-p2,,,,
0822468a903fdbc854568aae6c2a86b4-p3,1 c,1.0,,
0822468a903fdbc854568aae6c2a86b4-p4,,,,
0822468a903fdbc854568aae6c2a86b4-p5,,,,
0822468a903fdbc854568aae6c2a86b4-p6,500 c,500.0,,
083f21901dd38897a67a0cbdcb5a0ba9-p1,3 c,3.0,,
0879104e9cd61cb4607d76dbb71c6dd6-p1,1 c,1.0,,
0879104e9cd61cb4607d76dbb71c6dd6-p2,195 c,195.0,,
0879104e9cd61cb4607d76dbb71c6dd6-p3,2 c,2.0,2 hr,2 hr
09d58dff07a0c2771f1e1b14bbdcda6d-p1,150 c,150.0,,
0a6b1e857cbbbb644c2ba309858d9b17-p1,120 c,120.0,10 min,10 min
0a6deac41f55a5335a4a83693c6efa0a-p1,3c,3.0,,
0a839366fa94224a77dfd2dcd8307db4-p1,400 c,400.0,,
0add37e77b255e4c8611e6551943f81d-p1,150 c,150.0,,
0af5fce3a1411e1045c3aad6b6059b9d-p1,1 c,1.0,10 min,10 min
0af5fce3a1411e1045c3aad6b6059b9d-p2,300 c,300.0,30 min,0.5
0b79b6beb338f9c43d6077e1181456ee-p1,200 c,200.0,1 min,1 min
0b79b6beb338f9c43d6077e1181456ee-p2,160 c,160.0,30 min,0.5
0bc79392a323c3e0098303673beaf3db-p1,1130 c,1130.0,,
0c008fba4308191449423ad17b4ecac0-p1,2c,2.0,10 min,10 min
0c567d3e6f44af24c249ae320c5a6323-p1,2 c,2.0,,
0c567d3e6f44af24c249ae320c5a6323-p10,2 c,2.0,,
0c567d3e6f44af24c249ae320c5a6323-p11,,,,
0c567d3e6f44af24c249ae320c5a6323-p2,4 c,4.0,,
0c567d3e6f44af24c249ae320c5a6323-p3,,,,
0c567d3e6f44af24c249ae320c5a6323-p4,,,,
0c567d3e6f44af24c249ae320c5a6323-p5,2 c,2.0,,
0c567d3e6f44af24c249ae320c5a6323-p6,,,,
0c567d3e6f44af24c249ae320c5a6323-p7,,,,
0c567d3e6f44af24c249ae320c5a6323-p8,1 c,1.0,,
0c567d3e6f44af24c249ae320c5a6323-p9,2 c,2.0,,
0cc7d570bd60bde88bc1fe6140b3106c-p1,80 c,80.0,,
0cc7d570bd60bde88bc1fe6140b3106c-p2,35 c,35.0,1 hr,1
0d8f23a68e96d962f91b684caff18478-p1,1 c,1.0,10 min,10 min
0d8f23a68e96d962f91b684caff18478-p2,2 c,2.0,,
0d8f23a68e96d962f91b684caff18478-p3,90 c,90.0,10 min,10 min
0e0979d2e73dd815e6bcf61b28949148-p1,,,,
0e0979d2e73dd815e6bcf61b28949148-p2,1 c,1.0,,
0e0979d2e73dd815e6bcf61b28949148-p3,2 c,2.0,15 min,15 min
0e0979d2e73dd815e6bcf61b28949148-p4,1 c,1.0,,
0e3fdc6a9af0abd17ebcb4ddb89500ce-p1,2c,2.0,,
0e3fdc6a9af0abd17ebcb4ddb89500ce-p2,,,,
0e3fdc6a9af0abd17ebcb4ddb89500ce-p3,100 c,100.0,,
0e3fdc6a9af0abd17ebcb4ddb89500ce-p4,,,,
0e3fdc6a9af0abd17ebcb4ddb89500ce-p5,1 c,1.0,15 min,15 min
0e454995a867334465a9786bb7865d20-p1,1 c,1.0,,
0e454995a867334465a9786bb7865d20-p2,3 c,3.0,1 hr,1
